category,name,price,meal__info,meal__choose,attribute,sidedishes_list,dropdown,dropdown2
"Pizza, Ø 45cm",Pizza Bauer,"36,00 CHF","mit Speck, Zwiebeln und Peperoni",,,[],,
"Pizza, Ø 45cm",Pizza Hirten,"35,00 CHF","mit Peperoncini, Zwiebeln, Petersilie, Knoblauchsauce und Pestosauce",,,[],,
"Pizza, Ø 45cm",Pizza Bella,"36,00 CHF","mit Speck, Zwiebeln und Ei",,,[],,
"Pizza, Ø 45cm",Pizza Oase,"36,00 CHF","mit Hinterschinken, Champignons, Peperoncini, Basilikum, Zwiebeln und Knoblauch",,,[],,
"Pizza, Ø 45cm",Pizza Vitellone,"36,00 CHF","mit mariniertem Kalbsgeschnetzeltem, Basilikum und Knoblauch",,,[],,
"Pizza, Ø 45cm",Pizza Calabrese (scharf),"35,00 CHF","mit scharfer Salami, Peperoni, Oliven und Knoblauch",,,[],,
"Pizza, Ø 45cm",Pizza Farmer,"36,00 CHF",mit mariniertem Putenbrustgeschnetzeltem und Basilikum,,,[],,
"Pizza, Ø 45cm",Pizza Bolzano,"35,00 CHF","mit Steinpilzen, Mascarpone, Rohschinken und Rucola",,,[],,
"Pizza, Ø 45cm",Pizza Paganese (scharf),"35,00 CHF","mit scharfer Salami, Gorgonzola, Spinat und Hinterschinken",,,[],,
"Pizza, Ø 45cm",Pizza Fantastica (scharf),"35,00 CHF","mit scharfer Salami, Gorgonzola und Hinterschinken",,,[],,
"Pizza, Ø 45cm",Pizza Madras,"36,00 CHF","mit Ananas, Bananen, Pouletbrust und Curry",,,[],,
"Pizza, Ø 45cm",Pizza Raclette,"36,00 CHF","mit Ananas, Bananen, Pouletbrust und Curry",,,[],,
"Pizza, Ø 45cm",Pizza Campagnola,"35,00 CHF","mit Mais, Speck und Zwiebeln",,,[],,
"Pizza, Ø 45cm",Pizza Kebab,"37,00 CHF",mit Kebabfleisch,,,[],,
"Pizza, Ø 45cm",Pizza Buttafucco (scharf),"35,00 CHF","mit Speck, Zwiebeln, scharfer Salami, Hinterschinken und frischen Champignons",,,[],,
"Pizza, Ø 45cm",Wunsch-Pizza,"43,00 CHF",mit 6 Zutaten nach Wahl,"Wahl aus: mit Ananas, mit Artischocken, mit Auberginen, grilliert, mit Basilikum, mit Broccoli und mehr.",,[],"mit Ananas, mit Artischocken, mit Auberginen, grilliert, mit Basilikum, mit Broccoli, mit Champignons, mit Cherrytomaten, mit Ei, mit Gemüse, mit Gorgonzola, mit Kalbfleisch, mit Kapern, mit Knoblauch, mit Mascarpone, mit Meeresfrüchten, mit Oliven, mit Parmesan, mit Peperoncini, mit Peperoni, mit Pestosauce, mit Pouletgeschnetzeltem, mariniert, mit Rohschinken, mit Rucola, mit Salami, mit Salami, scharf, mit Sardellen, mit Schafskäse, mit Schinken, mit Speck, mit Spinat, mit Steinpilzen, mit Thunfisch, mit Tomaten, mit Vorderschinken, mit Zucchetti, mit Zwiebeln",
Pasta,Pasta Napoli,"20,00 CHF",mit hausgemachter Tomatensauce,"Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Carbonara,"21,00 CHF","mit Pizzaschinken, Speck und Rahmsauce","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Bolognese,"20,00 CHF",mit Hackfleisch und Tomatensauce,"Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Pesto,"20,00 CHF","mit Basilikumsauce, Knoblauch, Pinienkernen und Cherrytomaten","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],,
Pasta,Pasta Arche Noah,"22,00 CHF","mit gewürfeltem Pouletfleisch, Peperoni, Champignons, Peperoncini, Zwiebeln und Tomatensauce","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta al Tonno,"20,00 CHF","mit Thunfisch, Kapern, Zwiebeln und Tomatensauce","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Romagna,"22,00 CHF","mit Crevetten, Broccoli und Rahmsauce","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Frutti di Mare,"22,00 CHF",mit Meeresfrüchten und Tomatensauce,"Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Arrabiata,"20,00 CHF","mit Peperoni, Oliven, Peperoncini und Tomatensauce","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Toscana,"22,00 CHF","mit Kalbfleisch, Schweinefleisch und Steinpilzen","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Aglio (scharf),"20,00 CHF","mit Oliven, Peperoncini, Knoblauch und Cherrytomaten","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],,
Pasta,Pasta Gorgonzola,"20,00 CHF","mit italienischer Gorgonzolasauce, Broccoli, Cherrytomaten und Pinienkernen","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta con Pollo,"20,00 CHF",mit gebratenem Pouletfleisch und Champignons-Rahmsauce,"Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta alla Panna,"20,00 CHF",mit Schinken und Rahmsauce,"Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Pasta Zucchini,"20,00 CHF","mit Zucchini, Schafskäse, Cherrytomaten, Zwiebeln, Knoblauch und Rahmsauce","Wahl aus: mit Gnocchi, mit Penne oder mit Spaghetti.",,[],"mit Gnocchi, mit Penne, mit Spaghetti",
Pasta,Tortellini,"20,00 CHF",mit Fleischfüllung und einer Sauce nach Wahl,"Wahl aus: mit Arrabiata, mit Bolognese, mit Napoli, mit Pesto oder mit Toscana.",,[],"mit Arrabiata, mit Bolognese, mit Napoli, mit Pesto, mit Toscana",
Pasta,Ravioli mit Ricotta und Spinatfüllung,"20,00 CHF",und einer Sauce nach Wahl,"Wahl aus: mit Arrabiata, mit Bolognese, mit Napoli, mit Pesto oder mit Toscana.",,[],"mit Arrabiata, mit Bolognese, mit Napoli, mit Pesto, mit Toscana",
Pasta,Tortellini al Forno,"22,00 CHF","mit Schinken, Käse und Rahmsauce",,,[],,
Pasta,Penne al Forno,"20,00 CHF","mit Schinken, Zwiebeln, Knoblauch, Käse, Tomaten und Rahmsauce",,,[],,
Pasta,Lasagne Verdi,"20,00 CHF",hausgemacht mit Hackfleisch,,,[],,
Fleischgerichte,Kalbsgeschnetzeltes Zürcher Art,"27,50 CHF","mit Pilzen, Zwiebeln und Rahmsause","Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage",
Fleischgerichte,Pouletgeschnetzeltes,"22,50 CHF",mit Rahm-Pilzsauce,"Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage",
Fleischgerichte,Paniertes Schweinsschnitzel,"22,00 CHF",mit Rahm-Pilzsauce,"Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage",
Fleischgerichte,Paniertes Pouletschnitzel,"22,00 CHF",mit Rahm-Pilzsauce,"Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage",
Fleischgerichte,Schweineschnitzel mit Rahmsauce und Pilzen,"22,50 CHF",mit Rahm-Pilzsauce,"Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage",
Fleischgerichte,Paniertes Kalbsschnitzel,"27,00 CHF",mit Rahm-Pilzsauce,"Wahl aus: mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage und mehr.",,[],"mi Röstikroketten, mit Pommes frites, mit Salat, mit Teigwaren, ohne Beilage",
Hausgemachte Cordon Bleu,Cordon Bleu Amerikanisch,"28,00 CHF","gefüllt mit Speck, Zwiebeln und Raclette","Wahl aus: mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch, mit Pommes frites, mit Röstikroketten und mehr.",,[],"mit Pouletfleisch, mit Schweinefleisch, mit Kalbfleisch (+2,00 CHF)",
